domain,permutation,distance,ips,ips.geo.region,ips.geo.country,ips.geo.asn.number,ips.geo.asn.org,httpBanner,technologies,classification.legitimate,classification.parked,classification.phishing,whois,dnsAaaa,dnsMx,dnsTxt,dnsCname,dnsNs,registration_metadata,domainStatus,pageRank
oab.ie,VowelShuffle,2,20.119.8.35,NA,US,8075,Microsoft Corporation,CloudFront,"Adobe Experience Manager,Amazon CloudFront,Amazon Web Services,Java,OneTrust,jQuery",0.9843348,0.0070475414,0.008617588,,,,qtw0syf03jjjvgdkgpvz58bbdf43h9j8,,"ns1.markmonitor.com.,ns7.markmonitor.com.,ns4.markmonitor.com.,ns5.markmonitor.com.,ns6.markmonitor.com.,ns3.markmonitor.com.,ns2.markmonitor.com.",,"{""domain"":""oab.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}","{""domain"":""oab.ie"",""status_code"":200,""error"":null,""page_rank_integer"":1,""page_rank_decimal"":1.14,""rank"":""126327476"",""last_updated"":""28th Mar 2026""}"
aub.ie,VowelSwap,1,131.204.138.155,NA,US,6112,Auburn University,Microsoft-IIS/10.0,,,,,,,aub.ie.,,,"ns9.dnsireland.com.,ns10.dnsireland.com.",,"{""domain"":""aub.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}","{""domain"":""aub.ie"",""status_code"":200,""error"":null,""page_rank_integer"":4,""page_rank_decimal"":4.2,""rank"":""293038"",""last_updated"":""28th Mar 2026""}"
aeb.ie,VowelSwap,1,78.153.214.11,EU,IE,39122,Blacknight Internet Solutions Limited,,,,,,,,"mx0102.titan.email.,mx0101.titan.email.",v=spf1 a include:spf.blacknight.ie  ~all,,"ns4.blacknight.com.,ns1.blacknight.com.,ns2.blacknight.com.,ns3.blacknight.com.",,"{""domain"":""aeb.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}",null
oob.ie,VowelShuffle,2,100.26.65.199,NA,US,14618,"Amazon.com, Inc.",Apache,"Apache HTTP Server,Plesk",0.32508072,0.6691459,0.0057733543,,,"alt2.aspmx.l.google.com.,alt1.aspmx.l.google.com.,alt4.aspmx.l.google.com.,aspmx.l.google.com.,alt3.aspmx.l.google.com.",google-site-verification=UCQoPEJsm37MrZG-lzfHPfrZBTEKwqIwKd62g7U6yiI,,"tegan.ns.cloudflare.com.,jay.ns.cloudflare.com.",,"{""domain"":""oob.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}",null
aob.ie,VowelSwap,1,185.43.232.252,EU,IE,29550,Team Blue Carrier Limited,cloudflare,"Cloudflare,Facebook Pixel:2.9.313,Glider.js,Google Analytics,Google Hosted Libraries,Google Tag Manager,HTTP/3,Klaviyo,Mustache,Smile,Smile App,Trustpilot,Vue.js,cdnjs,jQuery:3.2.1,jsDelivr",0.9998739,0.00012614223,0,,,mail.aob.ie.,v=spf1 a mx include:spf.antispamcloud.com ip4:185.43.232.252 ~all,,"ns7.dnsireland.ie.,ns5.dnsireland.com.,ns6.dnsireland.com.",,"{""domain"":""aob.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}","{""domain"":""aob.ie"",""status_code"":200,""error"":null,""page_rank_integer"":0,""page_rank_decimal"":0.46,""rank"":""172519325"",""last_updated"":""28th Mar 2026""}"
eob.ie,VowelShuffle,2,77.68.117.74,EU,GB,8560,IONOS SE,nginx,,,,,,,,,,"ns2.blacknightdns.com.,ns4.blacknightdns.com.,ns3.blacknightdns.com.,ns1.blacknightdns.com.",,"{""domain"":""eob.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}","{""domain"":""eob.ie"",""status_code"":200,""error"":null,""page_rank_integer"":0,""page_rank_decimal"":0,""rank"":""263073841"",""last_updated"":""28th Mar 2026""}"
ai.ie,Omission,1,91.215.216.32,EU,BG,49699,SuperHosting.BG Ltd.,Apache,Apache HTTP Server,0.044960625,0.95482904,0.00021037989,,,ai.ie.,v=spf1 include:smtp-out.spf.superhosting.bg  include:jupiter.spf.superhosting.bg  +a +mx +ip4:78.142.50.75 ~all,,"ns75.icndns.net.,ns76.icndns.net.",,"{""domain"":""ai.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}",null
aibbank.ie,Keyword,4,"165.160.13.20,165.160.15.20","NA,NA","US,US","19574,19574","Corporation Service Company,Corporation Service Company",,,,,,,,custmx.cscdns.net.,,,"dns2.cscdns.net.,dns1.cscdns.net.",,"{""domain"":""aibbank.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}",null
aib.io,VowelSwap,1,,,,,,,,,,,,,,,,"ns-1641.awsdns-13.co.uk.,ns-1354.awsdns-41.org.,ns-993.awsdns-60.net.,ns-248.awsdns-31.com.",,"{""domain"":""aib.io"",""status"":""active"",""tags"":""country geo"",""zone"":""io"",""scope"":null,""offers"":[]}",null
avb.ie,Replacement,1,,,,,,,,,,,,,avb-ie.mail.protection.outlook.com.,"MS=ms82152387,v=spf1 include:spf.protection.outlook.com -all",,"ns3.blacknightdns.com.,ns2.blacknightdns.com.,ns1.blacknightdns.com.,ns4.blacknightdns.com.",,"{""domain"":""avb.ie"",""status"":""active"",""tags"":""country geo"",""zone"":""ie"",""scope"":null,""offers"":[]}",null
